laptop_timestamp,timestamp_ms,temp_c,humidity_pct,mq2_adc,flame_state,dht_ok,label,experiment
2026-09-11T15:44:02.855,391256,28.60,74.40,193,0,1,normal,baseline
2026-09-11T15:44:05.340,393765,28.80,74.30,193,0,1,normal,baseline
2026-09-11T15:44:07.824,396273,28.80,74.40,193,0,1,normal,baseline
2026-09-11T15:44:10.309,398782,28.60,74.40,192,0,1,normal,baseline
2026-09-11T15:44:12.793,401291,28.70,74.40,197,0,1,normal,baseline
2026-09-11T15:44:15.277,403800,28.70,74.50,201,0,1,normal,baseline
2026-09-11T15:44:17.761,406308,28.60,74.40,192,0,1,normal,baseline
2026-09-11T15:44:20.245,408817,28.60,74.50,200,0,1,normal,baseline
2026-09-11T15:44:22.730,411326,28.60,74.60,193,0,1,normal,baseline
2026-09-11T15:44:25.214,413835,28.60,74.40,191,0,1,normal,baseline
2026-09-11T15:44:27.698,416343,28.70,74.40,193,0,1,normal,baseline
2026-09-11T15:44:30.183,418852,28.70,74.30,190,0,1,normal,baseline
2026-09-11T15:44:32.667,421361,28.70,74.60,191,0,1,normal,baseline
2026-09-11T15:44:35.151,423870,28.60,74.60,192,0,1,normal,baseline
2026-09-11T15:44:37.635,426379,28.60,74.40,192,0,1,normal,baseline
2026-09-11T15:44:40.120,428887,28.60,74.70,197,0,1,normal,baseline
2026-09-11T15:44:42.604,431396,28.60,74.70,192,0,1,normal,baseline
2026-09-11T15:44:45.088,433905,28.60,74.60,192,0,1,normal,baseline
2026-09-11T15:44:47.572,436414,28.60,74.60,192,0,1,normal,baseline
2026-09-11T15:44:50.057,438923,28.70,74.40,194,0,1,normal,baseline
2026-09-11T15:44:52.541,441431,28.60,74.60,195,0,1,normal,baseline
2026-09-11T15:44:55.026,443940,28.60,74.70,197,0,1,normal,baseline
2026-09-11T15:44:57.510,446449,28.60,74.60,195,0,1,normal,baseline
2026-09-11T15:44:59.994,448958,28.60,74.60,192,0,1,normal,baseline
2026-09-11T15:45:02.478,451467,28.60,74.40,193,0,1,normal,baseline
2026-09-11T15:45:04.962,453975,28.60,74.40,196,0,1,normal,baseline
2026-09-11T15:45:07.447,456484,28.50,74.40,192,0,1,normal,baseline
2026-09-11T15:45:09.931,458993,28.70,74.60,194,0,1,normal,baseline
2026-09-11T15:45:12.416,461502,28.70,74.30,194,0,1,normal,baseline
2026-09-11T15:45:14.899,464010,28.60,74.70,194,0,1,normal,baseline
2026-09-11T15:45:17.384,466519,28.70,74.50,192,0,1,normal,baseline
2026-09-11T15:45:19.868,469028,28.60,74.50,192,0,1,normal,baseline
2026-09-11T15:45:22.352,471537,28.60,74.40,190,0,1,normal,baseline
2026-09-11T15:45:24.836,474046,28.60,74.60,200,0,1,normal,baseline
2026-09-11T15:45:27.321,476554,28.70,74.50,191,0,1,normal,baseline
2026-09-11T15:45:29.805,479063,28.60,74.60,198,0,1,normal,baseline
2026-09-11T15:45:32.289,481572,28.70,74.40,199,0,1,normal,baseline
2026-09-11T15:45:34.758,484081,28.50,74.50,193,0,1,normal,baseline
2026-09-11T15:45:37.243,486590,28.60,74.50,197,0,1,normal,baseline
2026-09-11T15:45:39.727,489098,28.70,74.50,195,0,1,normal,baseline
2026-09-11T15:45:42.211,491607,28.60,74.40,199,0,1,normal,baseline
2026-09-11T15:45:44.696,494116,28.70,74.50,194,0,1,normal,baseline
2026-09-11T15:45:47.179,496625,28.60,74.50,196,0,1,normal,baseline
2026-09-11T15:45:49.664,499134,28.70,74.60,195,0,1,normal,baseline
2026-09-11T15:45:52.148,501642,28.60,74.40,193,0,1,normal,baseline
