window_id,source_file,window_start_ms,window_end_ms,window_duration_s,mq2_last,mq2_mean,mq2_std,mq2_min,mq2_max,mq2_range,mq2_delta,mq2_slope_per_s,temp_last,temp_mean,temp_std,temp_delta,temp_slope_per_s,humidity_last,humidity_mean,humidity_std,humidity_delta,humidity_slope_per_s,flame_count,flame_fraction,anomaly_label,label,phase
40,sentinel_data_20260911_164627.csv,115875,138454,22.579,228,225.7,2.6851443164195103,222,231,9,-3,-0.13286682315425838,28.5,28.52,0.04000000000000057,0.0,0.0,73.5,73.56,0.04898979485566078,0.0,0.0,0,0.0,0,normal,
41,sentinel_data_20260911_164627.csv,140963,163544,22.581,215,222.4,5.499090833947008,215,231,16,-15,-0.6642752756742394,28.5,28.5,0.04472135954999643,0.0,0.0,73.4,73.45,0.10246950765959432,-0.09999999999999432,-0.0044285018378280114,0,0.0,0,normal,
42,sentinel_data_20260911_164627.csv,166053,188633,22.58,204,208.4,3.6110940170535577,203,215,12,-11,-0.48715677590788314,28.6,28.540000000000003,0.04898979485566426,0.0,0.0,73.4,73.49,0.11357816691600402,-0.29999999999999716,-0.013286093888396687,0,0.0,0,normal,
43,sentinel_data_20260911_164627.csv,191142,213721,22.579,184,193.2,9.130169768410662,180,203,23,-19,-0.8414898799769698,28.5,28.52,0.06000000000000085,-0.10000000000000142,-0.004428894105142009,73.8,73.57,0.08999999999999851,0.29999999999999716,0.013286682315425713,0,0.0,0,normal,
44,sentinel_data_20260911_165323.csv,126877,149456,22.579,211,212.5,2.8722813232690143,208,217,9,-4,-0.17715576420567783,28.5,28.5,0.0,0.0,0.0,73.6,73.62,0.1077032961426895,-0.10000000000000853,-0.004428894105142324,0,0.0,0,normal,
45,sentinel_data_20260911_165323.csv,151965,174546,22.581,209,207.1,3.2078029864690882,200,212,12,-1,-0.04428501837828263,28.5,28.52,0.04000000000000057,-0.10000000000000142,-0.004428501837828325,73.4,73.44,0.048989794855660775,-0.09999999999999432,-0.0044285018378280114,0,0.0,0,normal,
46,sentinel_data_20260911_165323.csv,177055,199637,22.582,208,207.6,0.4898979485566356,207,208,1,0,0.0,28.5,28.52,0.04000000000000057,-0.10000000000000142,-0.004428305730227677,73.3,73.41999999999999,0.05999999999999943,-0.10000000000000853,-0.004428305730227992,0,0.0,0,normal,
47,sentinel_data_20260911_165323.csv,202146,224727,22.581,212,213.5,2.6172504656604803,208,218,10,4,0.17714007351313052,28.5,28.560000000000002,0.04898979485566426,0.0,0.0,73.1,73.34,0.09165151389912089,-0.30000000000001137,-0.013285505513485292,0,0.0,0,normal,
48,sentinel_data_20260911_165323.csv,227236,249817,22.581,212,212.1,0.5385164807134505,211,213,2,-1,-0.04428501837828263,28.5,28.52,0.06000000000000085,0.0,0.0,73.4,73.29999999999998,0.06324555320336848,0.10000000000000853,0.00442850183782864,0,0.0,0,normal,
49,sentinel_data_20260911_165323.csv,252326,274905,22.579,208,206.9,1.5132745950421556,205,209,4,-1,-0.04428894105141946,28.4,28.49,0.053851648071345806,-0.10000000000000142,-0.004428894105142009,73.4,73.52,0.08717797887081144,-0.09999999999999432,-0.004428894105141694,0,0.0,0,normal,
