source_file,window_number,mq2_last,temp_last,humidity_last,flame_last,mq2_mean,mq2_std,mq2_min,mq2_max,mq2_range,mq2_delta,mq2_slope_per_s,temp_mean,temp_std,temp_delta,temp_slope_per_s,humidity_mean,humidity_std,humidity_delta,humidity_slope_per_s,flame_count,flame_fraction,critical_count,label,anomaly_label,phase,window_duration_s,anomaly_score,prediction
sentinel_data_20260911_165323.csv,8,205,28.4,73.8,0,204.0,3.03315017762062,200,208,8,-3,-0.0966355136393589,28.41,0.053851648071345,0.0,-0.0021744049873127,73.77,0.0640312423743277,0.0,0.0021744820276225,0,0.0,0,normal,0,unknown,22.57799999999997,1.4095894475352524,0
sentinel_data_20260911_165323.csv,9,201,28.4,74.0,0,201.8,1.077032961426901,200,203,3,-2,0.0289894984871449,28.41,0.053851648071345,0.0,0.0026574477349654,73.9,0.0774596669241476,0.0999999999999943,-0.0019329413937195,0,0.0,0,normal,0,unknown,22.57800000000003,1.5711898291086515,0
sentinel_data_20260911_165323.csv,10,187,28.4,73.9,0,198.1,4.72122865364515,187,202,15,-14,-0.4421003049338275,28.41,0.0300000000000004,-0.1000000000000014,-0.0021743016839837,73.78999999999999,0.0943398113205685,0.1000000000000085,0.004590128242774,0,0.0,0,normal,0,unknown,22.57799999999997,2.522473413949873,0
sentinel_data_20260911_165323.csv,11,188,28.4,73.8,0,188.2,0.8717797887081347,187,190,3,1,0.0579778413696411,28.44,0.0489897948556642,0.0,0.0014495519646696,73.82000000000001,0.0748331477354795,0.0,-0.0009665477371673,0,0.0,0,normal,0,unknown,22.57799999999997,1.079971064710533,0
sentinel_data_20260911_165323.csv,12,184,28.4,73.7,0,186.1,1.57797338380595,184,188,4,-4,-0.2053422577792515,28.45,0.0500000000000007,-0.1000000000000014,-0.0016912093172349,73.66,0.0800000000000014,0.0,0.0009663668065867,0,0.0,0,normal,0,unknown,22.57899999999995,1.9818499140438843,0
sentinel_data_20260911_165323.csv,13,186,28.4,73.9,0,185.6,0.8,184,187,3,2,0.0676429335397838,28.4,0.0,0.0,-1.2783494154556414e-16,73.78,0.1248999599679701,0.3000000000000113,0.0077306870105273,0,0.0,0,normal,0,unknown,22.57800000000003,3.241046428408983,0
sentinel_data_20260911_165323.csv,14,191,28.5,73.9,0,190.9,6.640030120413611,185,203,18,5,0.6353712796496571,28.4,0.0447213595499956,0.1000000000000014,0.0009662780960831,73.89,0.0700000000000014,0.1000000000000085,0.0041070767399439,0,0.0,0,normal,0,unknown,22.57799999999997,1.989031518489598,0
sentinel_data_20260911_165323.csv,15,189,28.3,73.8,0,189.7,0.9,188,191,3,-1,-0.0893873161074138,28.380000000000003,0.0399999999999991,0.0,-4.684092008773013e-16,73.92,0.1166190378969049,0.0,-0.0057979452203866,0,0.0,0,normal,0,unknown,22.57800000000003,0.9687370998169434,0
sentinel_data_20260911_165323.csv,16,181,28.5,73.7,0,183.8,2.993325909419153,179,187,8,-6,-0.3768734952829613,28.46,0.0489897948556642,0.0,-0.000483042747281,73.67,0.064031242374331,0.0,-0.004106922656159,0,0.0,0,normal,0,unknown,22.57799999999997,1.2346692802247503,0
sentinel_data_20260911_165323.csv,17,201,28.4,73.8,0,200.3,8.866228059327145,182,219,37,19,-0.0410982122397877,28.4,0.0,0.0,6.114918872563328e-16,73.72,0.0599999999999994,0.2000000000000028,0.0048318410515114,0,0.0,0,normal,0,unknown,22.577,3.852037631708708,0
sentinel_data_20260911_165323.csv,18,202,28.4,73.6,0,200.4,1.5620499351813308,198,203,5,-1,-0.1207905458176299,28.380000000000003,0.0399999999999991,0.0,0.0009662057238896,73.68,0.0748331477354795,-0.2000000000000028,-0.0077307243606765,0,0.0,0,normal,0,unknown,22.57799999999997,0.9335421315954276,0
sentinel_data_20260911_165323.csv,19,198,28.4,73.5,0,200.3,1.7916472867168918,198,203,5,-4,-0.2246458205007425,28.41,0.0300000000000004,0.0,-0.0002415546456993,73.53999999999999,0.0663324958071076,-0.0999999999999943,-0.0028986557483966,0,0.0,0,normal,0,unknown,22.581000000000017,1.2486709865145498,0
sentinel_data_20260911_165323.csv,20,200,28.4,73.6,0,199.3,1.417744687875783,198,202,4,2,0.1666821756397253,28.4,0.0447213595499956,0.0,-0.0019324593297553,73.63000000000001,0.064031242374331,-0.1000000000000085,0.0026570689925382,0,0.0,0,normal,0,unknown,22.58000000000004,1.117101622329207,0
sentinel_data_20260911_165323.csv,21,198,28.4,73.7,0,199.2,1.2489995996796797,197,201,4,1,0.0144910725805493,28.380000000000003,0.0399999999999991,0.0999999999999978,0.0019325410254206,73.66,0.0663324958071106,0.1000000000000085,-0.0019323869552224,0,0.0,0,normal,0,unknown,22.57899999999995,1.7236492411179452,0
sentinel_data_20260911_165323.csv,22,198,28.4,73.6,0,198.2,0.7483314773547882,197,199,2,1,0.0048312796099052,28.380000000000003,0.0399999999999991,0.0,-0.0028989603546167,73.67,0.0781024967590684,0.0,0.002174056565589,0,0.0,0,normal,0,unknown,22.57899999999995,1.5171403601008973,0
sentinel_data_20260911_165323.csv,23,201,28.4,73.6,0,199.9,1.57797338380595,197,202,5,2,0.137686148048845,28.35,0.0499999999999989,0.0,-0.0007246639370989,73.53,0.0781024967590652,-0.1000000000000085,-0.0036233196854955,0,0.0,0,normal,0,unknown,22.581000000000017,0.9674083493420547,0
sentinel_data_20260911_165323.csv,24,196,28.4,73.5,0,198.2,1.5362291495737217,196,200,4,-4,-0.1690882519897969,28.39,0.0299999999999993,0.0,0.0016908825198993,73.5,0.0447213595499932,0.0,0.0009662185828032,0,0.0,0,normal,0,unknown,22.581000000000017,1.461839610649293,0
sentinel_data_20260911_165323.csv,25,198,28.4,73.4,0,198.7,0.7810249675906655,197,200,3,1,0.0458953826829501,28.39,0.0299999999999993,0.0,0.0012077732284989,73.39,0.0830662386291808,-0.0999999999999943,-0.0031402103940966,0,0.0,0,normal,0,unknown,22.580999999999904,1.2742888704245992,0
sentinel_data_20260911_165323.csv,26,200,28.4,73.5,0,199.1,0.7000000000000001,198,200,2,1,0.0410642897689515,28.39,0.0299999999999993,0.0,-0.0016908825198979,73.51,0.104403065089105,0.0,0.0070050847252918,0,0.0,0,normal,0,unknown,22.581000000000017,1.4770995259259352,0
sentinel_data_20260911_165323.csv,27,204,28.3,73.6,0,202.7,1.417744687875783,201,205,4,3,0.1715159472069212,28.340000000000003,0.0663324958071074,0.0,-0.0004834104107077,73.67,0.0781024967590677,0.0999999999999943,0.0026571781156538,0,0.0,0,normal,0,unknown,22.57899999999995,1.9049563762448178,0
sentinel_data_20260911_165323.csv,28,216,28.3,73.5,0,210.2,4.377213725647858,204,216,12,12,0.5990936009160921,28.340000000000003,0.0489897948556625,-0.0999999999999978,0.001449579962706,73.67999999999999,0.0979795897113276,-0.2000000000000028,1.5405903596901846e-07,0,0.0,0,normal,0,unknown,22.579000000000065,2.2644988093936336,0
sentinel_data_20260911_165323.csv,29,212,28.3,73.5,0,210.9,0.5385164807134505,210,212,2,1,0.0120799030505163,28.3,0.0447213595499956,0.0,-0.001932661241451,73.68,0.0748331477354795,-0.2999999999999971,-0.0067639677139282,0,0.0,0,normal,0,unknown,22.579999999999927,1.6048061905819218,0
